Week Number (x),Attendance (y)
1,100
2,97
3,82
4,86
5,89
6,83
7,81
8,93
9,111
10,89
11,112
12,104
13,97
14,96
15,100
16,115
17,110
18,102
19,96
20,96
21,82
22,106
23,86
24,97
25,98
26,92
27,87
28,101
29,108
30,87
31,83
32,118
33,86
34,98
35,119
36,121
37,113
38,99
39,132
40,129
41,112
42,111
43,115
44,117
45,87
46,103
47,93
48,130
49,126
50,85
51,82
52,84
53,106
54,121
55,109
56,103
57,107
58,96
59,91
60,112
61,123
62,104
63,95
64,106
65,81
66,108
67,89
68,103
69,90
70,102
71,114
72,87
73,97
74,92
75,98
76,98
77,105
78,114
79,97
80,103
81,96
82,87
83,108
84,88
85,106
86,86
87,88
88,99
89,101
90,86
91,100
92,89
93,104
94,117
95,106
96,100
97,89
98,91
99,99
100,85
101,85
102,92
103,116
104,115
105,99
106,111
107,102
108,87
109,82
110,121
111,125
112,95
113,108
114,85
115,105
116,81
117,109
118,110
119,95
120,83
121,107
122,123
123,88
124,97
125,115
126,112
127,96
128,105
129,110
130,90
131,99
132,125
133,98
134,116
135,131
136,94
137,105
138,135
139,110
140,107
141,86
142,114
143,86
144,99
145,91
146,122
147,87
148,113
149,107
150,142
151,114
152,127
153,137
154,97
155,112
156,117
157,133
158,116
159,107
160,123
161,116
162,138
163,116
164,138
165,121
166,147
167,146
168,144
169,150
170,152
171,163
172,150
173,148
174,162
175,164
176,133
177,159
178,146
179,150
180,154
181,170
182,191
